date	agegroup	sari_covid19_incidence
2022-W04	60-79	7.4
2022-W04	80+	22.2
2022-W04	00+	5.5
2022-W05	60-79	9.2
2022-W05	80+	24.3
2022-W05	00+	6.2
2022-W06	60-79	10.8
2022-W06	80+	27.8
2022-W06	00+	6.9
2022-W07	60-79	8.4
2022-W07	80+	29.2
2022-W07	00+	5.9
2022-W08	60-79	8.9
2022-W08	80+	33.5
2022-W08	00+	6.2
2022-W09	60-79	9.8
2022-W09	80+	39.7
2022-W09	00+	6.9
2022-W10	60-79	11.0
2022-W10	80+	42.9
2022-W10	00+	7.4
2022-W11	60-79	11.4
2022-W11	80+	42.9
2022-W11	00+	7.6
2022-W12	60-79	10.8
2022-W12	80+	42.4
2022-W12	00+	7.4
2022-W13	60-79	8.5
2022-W13	80+	36.5
2022-W13	00+	6.3
2022-W14	60-79	7.6
2022-W14	80+	30.5
2022-W14	00+	5.2
2022-W15	60-79	5.2
2022-W15	80+	25.4
2022-W15	00+	4.1
2022-W16	60-79	4.8
2022-W16	80+	22.7
2022-W16	00+	3.5
2022-W17	60-79	4.7
2022-W17	80+	17.0
2022-W17	00+	2.9
2022-W18	60-79	3.7
2022-W18	80+	18.1
2022-W18	00+	3.1
2022-W19	60-79	2.9
2022-W19	80+	13.5
2022-W19	00+	2.2
2022-W20	60-79	2.4
2022-W20	80+	7.6
2022-W20	00+	1.4
2022-W21	60-79	2.2
2022-W21	80+	7.0
2022-W21	00+	1.4
2022-W22	60-79	2.1
2022-W22	80+	5.7
2022-W22	00+	1.3
2022-W23	60-79	3.1
2022-W23	80+	10.5
2022-W23	00+	2.0
2022-W24	60-79	3.7
2022-W24	80+	11.1
2022-W24	00+	2.3
2022-W25	60-79	5.6
2022-W25	80+	20.5
2022-W25	00+	3.7
2022-W26	60-79	6.6
2022-W26	80+	25.7
2022-W26	00+	4.4
2022-W27	60-79	6.2
2022-W27	80+	25.7
2022-W27	00+	4.4
2022-W28	60-79	7.2
2022-W28	80+	29.2
2022-W28	00+	4.7
2022-W29	60-79	9.4
2022-W29	80+	38.9
2022-W29	00+	6.1
2022-W30	60-79	5.9
2022-W30	80+	22.2
2022-W30	00+	3.8
2022-W31	60-79	6.7
2022-W31	80+	23.2
2022-W31	00+	4.1
2022-W32	60-79	3.5
2022-W32	80+	18.9
2022-W32	00+	2.8
2022-W33	60-79	4.3
2022-W33	80+	16.7
2022-W33	00+	3.0
2022-W34	60-79	2.9
2022-W34	80+	15.9
2022-W34	00+	2.3
2022-W35	60-79	3.0
2022-W35	80+	11.3
2022-W35	00+	1.9
2022-W36	60-79	4.0
2022-W36	80+	15.1
2022-W36	00+	2.8
2022-W37	60-79	3.7
2022-W37	80+	14.9
2022-W37	00+	2.4
2022-W38	60-79	5.0
2022-W38	80+	26.2
2022-W38	00+	3.8
2022-W39	60-79	9.3
2022-W39	80+	40.2
2022-W39	00+	6.2
2022-W40	60-79	10.7
2022-W40	80+	50.8
2022-W40	00+	7.4
